model,variant,alpha,class,automatic,errors,error_rate,predicted_as
hgb,split,0.05,HDF,15,0,0.0,
hgb,split,0.05,Normal,1887,2,0.0010598834128245894,PWF
hgb,split,0.05,OSF,4,0,0.0,
hgb,split,0.05,PWF,1,1,1.0,Normal
hgb,split,0.05,TWF,7,7,1.0,Normal
hgb,mondrian,0.05,HDF,0,0,,
hgb,mondrian,0.05,Normal,0,0,,
hgb,mondrian,0.05,OSF,0,0,,
hgb,mondrian,0.05,PWF,0,0,,
hgb,mondrian,0.05,TWF,0,0,,
hgb,split,0.1,HDF,3,0,0.0,
hgb,split,0.1,Normal,1810,0,0.0,
hgb,split,0.1,OSF,1,0,0.0,
hgb,split,0.1,PWF,0,0,,
hgb,split,0.1,TWF,5,5,1.0,Normal
hgb,mondrian,0.1,HDF,14,1,0.07142857142857142,TWF
hgb,mondrian,0.1,Normal,1367,81,0.0592538405267008,TWF
hgb,mondrian,0.1,OSF,3,0,0.0,
hgb,mondrian,0.1,PWF,0,0,,
hgb,mondrian,0.1,TWF,3,0,0.0,
hgb,split,0.2,HDF,0,0,,
hgb,split,0.2,Normal,1596,0,0.0,
hgb,split,0.2,OSF,1,0,0.0,
hgb,split,0.2,PWF,0,0,,
hgb,split,0.2,TWF,1,1,1.0,Normal
hgb,mondrian,0.2,HDF,18,0,0.0,
hgb,mondrian,0.2,Normal,1665,131,0.07867867867867868,TWF
hgb,mondrian,0.2,OSF,8,0,0.0,
hgb,mondrian,0.2,PWF,5,1,0.2,TWF
hgb,mondrian,0.2,TWF,7,1,0.14285714285714285,Normal
mlp,split,0.05,HDF,13,1,0.07692307692307693,Normal
mlp,split,0.05,Normal,1872,3,0.0016025641025641025,PWF
mlp,split,0.05,OSF,7,0,0.0,
mlp,split,0.05,PWF,16,1,0.0625,Normal
mlp,split,0.05,TWF,5,5,1.0,Normal
mlp,mondrian,0.05,HDF,0,0,,
mlp,mondrian,0.05,Normal,50,50,1.0,TWF
mlp,mondrian,0.05,OSF,0,0,,
mlp,mondrian,0.05,PWF,0,0,,
mlp,mondrian,0.05,TWF,2,0,0.0,
mlp,split,0.1,HDF,7,0,0.0,
mlp,split,0.1,Normal,1778,0,0.0,
mlp,split,0.1,OSF,3,0,0.0,
mlp,split,0.1,PWF,13,1,0.07692307692307693,Normal
mlp,split,0.1,TWF,2,2,1.0,Normal
mlp,mondrian,0.1,HDF,17,0,0.0,
mlp,mondrian,0.1,Normal,1781,149,0.08366086468276249,TWF
mlp,mondrian,0.1,OSF,2,0,0.0,
mlp,mondrian,0.1,PWF,19,1,0.05263157894736842,Normal
mlp,mondrian,0.1,TWF,6,0,0.0,
mlp,split,0.2,HDF,1,0,0.0,
mlp,split,0.2,Normal,1603,0,0.0,
mlp,split,0.2,OSF,0,0,,
mlp,split,0.2,PWF,9,1,0.1111111111111111,Normal
mlp,split,0.2,TWF,0,0,,
mlp,mondrian,0.2,HDF,16,0,0.0,
mlp,mondrian,0.2,Normal,1646,114,0.0692588092345079,TWF
mlp,mondrian,0.2,OSF,11,2,0.18181818181818182,TWF
mlp,mondrian,0.2,PWF,19,1,0.05263157894736842,Normal
mlp,mondrian,0.2,TWF,7,0,0.0,
