model,variant,alpha,nominal_coverage,n_samples,marginal_coverage,mean_set_size,abstention_rate,assisted_rate,human_rate,automatic_count,automatic_errors,automatic_error_rate
hgb,split,0.05,0.95,1995,0.9543859649122807,0.9593984962406015,0.0406015037593985,0.0,0.0406015037593985,1914,10,0.00522466039707419
hgb,mondrian,0.05,0.95,1995,0.9588972431077695,2.635087719298246,1.0,0.37293233082706767,0.6270676691729323,0,0,
hgb,split,0.1,0.9,1995,0.9092731829573935,0.9117794486215539,0.08822055137844612,0.0,0.08822055137844612,1819,5,0.002748763056624519
hgb,mondrian,0.1,0.9,1995,0.9172932330827067,1.3238095238095238,0.3047619047619048,0.2862155388471178,0.018546365914786967,1387,82,0.05912040374909877
hgb,split,0.2,0.8,1995,0.800501253132832,0.8010025062656642,0.19899749373433584,0.0,0.19899749373433584,1598,1,0.0006257822277847309
hgb,mondrian,0.2,0.8,1995,0.7989974937343358,0.8887218045112782,0.14636591478696742,0.017543859649122806,0.12882205513784462,1703,133,0.07809747504403992
mlp,split,0.05,0.95,1995,0.9538847117794487,0.9588972431077695,0.04110275689223058,0.0,0.04110275689223058,1913,10,0.005227391531625719
mlp,mondrian,0.05,0.95,1995,0.9503759398496241,2.0711779448621552,0.9739348370927319,0.8807017543859649,0.09323308270676692,52,50,0.9615384615384616
mlp,split,0.1,0.9,1995,0.9022556390977443,0.9037593984962407,0.0962406015037594,0.0,0.0962406015037594,1803,3,0.0016638935108153079
mlp,mondrian,0.1,0.9,1995,0.9032581453634085,1.0661654135338345,0.08521303258145363,0.06817042606516291,0.017042606516290727,1825,150,0.0821917808219178
mlp,split,0.2,0.8,1995,0.8080200501253133,0.8085213032581454,0.19147869674185464,0.0,0.19147869674185464,1613,1,0.0006199628022318661
mlp,mondrian,0.2,0.8,1995,0.7944862155388471,0.8546365914786967,0.14837092731829574,0.0015037593984962407,0.1468671679197995,1699,117,0.06886403766921718
