model,variant,alpha,class,support,covered,coverage,mean_set_size,abstention_rate
hgb,split,0.05,HDF,21,15,0.7142857142857143,0.7142857142857143,0.2857142857142857
hgb,split,0.05,Normal,1929,1885,0.9771902540176257,0.9782270606531882,0.02177293934681182
hgb,split,0.05,OSF,17,4,0.23529411764705882,0.23529411764705882,0.7647058823529411
hgb,split,0.05,PWF,19,0,0.0,0.05263157894736842,0.9473684210526315
hgb,split,0.05,TWF,9,0,0.0,0.7777777777777778,0.2222222222222222
hgb,mondrian,0.05,HDF,21,20,0.9523809523809523,2.6666666666666665,1.0
hgb,mondrian,0.05,Normal,1929,1848,0.9580093312597201,2.6365992742353552,1.0
hgb,mondrian,0.05,OSF,17,17,1.0,2.7058823529411766,1.0
hgb,mondrian,0.05,PWF,19,19,1.0,2.263157894736842,1.0
hgb,mondrian,0.05,TWF,9,9,1.0,2.888888888888889,1.0
hgb,split,0.1,HDF,21,3,0.14285714285714285,0.14285714285714285,0.8571428571428571
hgb,split,0.1,Normal,1929,1810,0.9383100051840332,0.9383100051840332,0.06168999481596682
hgb,split,0.1,OSF,17,1,0.058823529411764705,0.058823529411764705,0.9411764705882353
hgb,split,0.1,PWF,19,0,0.0,0.0,1.0
hgb,split,0.1,TWF,9,0,0.0,0.5555555555555556,0.4444444444444444
hgb,mondrian,0.1,HDF,21,20,0.9523809523809523,1.4761904761904763,0.3333333333333333
hgb,mondrian,0.1,Normal,1929,1765,0.9149818558838777,1.3068947641264903,0.2913426645930534
hgb,mondrian,0.1,OSF,17,17,1.0,2.0,0.8235294117647058
hgb,mondrian,0.1,PWF,19,19,1.0,2.0526315789473686,1.0
hgb,mondrian,0.1,TWF,9,9,1.0,1.7777777777777777,0.6666666666666666
hgb,split,0.2,HDF,21,0,0.0,0.0,1.0
hgb,split,0.2,Normal,1929,1596,0.8273716951788491,0.8273716951788491,0.17262830482115085
hgb,split,0.2,OSF,17,1,0.058823529411764705,0.058823529411764705,0.9411764705882353
hgb,split,0.2,PWF,19,0,0.0,0.0,1.0
hgb,split,0.2,TWF,9,0,0.0,0.1111111111111111,0.8888888888888888
hgb,mondrian,0.2,HDF,21,20,0.9523809523809523,1.0476190476190477,0.14285714285714285
hgb,mondrian,0.2,Normal,1929,1534,0.7952306894764126,0.8745463970969414,0.1368584758942457
hgb,mondrian,0.2,OSF,17,17,1.0,1.5294117647058822,0.5294117647058824
hgb,mondrian,0.2,PWF,19,16,0.8421052631578947,1.5263157894736843,0.7368421052631579
hgb,mondrian,0.2,TWF,9,7,0.7777777777777778,1.0,0.2222222222222222
mlp,split,0.05,HDF,21,12,0.5714285714285714,0.6190476190476191,0.38095238095238093
mlp,split,0.05,Normal,1929,1869,0.968895800933126,0.9704510108864697,0.029548989113530325
mlp,split,0.05,OSF,17,7,0.4117647058823529,0.4117647058823529,0.5882352941176471
mlp,split,0.05,PWF,19,15,0.7894736842105263,0.8421052631578947,0.15789473684210525
mlp,split,0.05,TWF,9,0,0.0,0.5555555555555556,0.4444444444444444
mlp,mondrian,0.05,HDF,21,21,1.0,2.1904761904761907,1.0
mlp,mondrian,0.05,Normal,1929,1830,0.9486780715396579,2.0648004147226544,0.9740798341109383
mlp,mondrian,0.05,OSF,17,17,1.0,2.6470588235294117,1.0
mlp,mondrian,0.05,PWF,19,19,1.0,2.1052631578947367,1.0
mlp,mondrian,0.05,TWF,9,9,1.0,2.0,0.7777777777777778
mlp,split,0.1,HDF,21,7,0.3333333333333333,0.3333333333333333,0.6666666666666666
mlp,split,0.1,Normal,1929,1778,0.9217210990150337,0.9217210990150337,0.0782789009849663
mlp,split,0.1,OSF,17,3,0.17647058823529413,0.17647058823529413,0.8235294117647058
mlp,split,0.1,PWF,19,12,0.631578947368421,0.6842105263157895,0.3157894736842105
mlp,split,0.1,TWF,9,0,0.0,0.2222222222222222,0.7777777777777778
mlp,mondrian,0.1,HDF,21,20,0.9523809523809523,1.1428571428571428,0.19047619047619047
mlp,mondrian,0.1,Normal,1929,1738,0.9009849663037843,1.0559875583203733,0.0767236910316226
mlp,mondrian,0.1,OSF,17,17,1.0,2.0,0.8823529411764706
mlp,mondrian,0.1,PWF,19,18,0.9473684210526315,1.0,0.0
mlp,mondrian,0.1,TWF,9,9,1.0,1.4444444444444444,0.3333333333333333
mlp,split,0.2,HDF,21,1,0.047619047619047616,0.047619047619047616,0.9523809523809523
mlp,split,0.2,Normal,1929,1603,0.8310005184033178,0.8310005184033178,0.1689994815966822
mlp,split,0.2,OSF,17,0,0.0,0.0,1.0
mlp,split,0.2,PWF,19,8,0.42105263157894735,0.47368421052631576,0.5263157894736842
mlp,split,0.2,TWF,9,0,0.0,0.0,1.0
mlp,mondrian,0.2,HDF,21,16,0.7619047619047619,0.7619047619047619,0.23809523809523808
mlp,mondrian,0.2,Normal,1929,1532,0.7941938828408501,0.8532918610679109,0.14670813893208917
mlp,mondrian,0.2,OSF,17,12,0.7058823529411765,1.0,0.35294117647058826
mlp,mondrian,0.2,PWF,19,18,0.9473684210526315,1.0,0.0
mlp,mondrian,0.2,TWF,9,7,0.7777777777777778,0.7777777777777778,0.2222222222222222
