UID,y_true,p_HDF,p_Normal,p_OSF,p_PWF,p_TWF
1,Normal,3.4360664069242443e-09,0.9999999808564025,7.924465544396826e-10,1.4153559723046927e-08,7.615246400825436e-10
4,Normal,1.3128755774528663e-09,0.9999999957046433,4.4447592596862037e-10,2.319570350449089e-09,2.184347624781259e-10
7,Normal,8.34112434504112e-10,0.9999999971695799,3.1710575113952297e-10,1.5004204652243655e-09,1.7878176552897588e-10
17,Normal,3.260289854299316e-08,0.9999999658906731,6.070662257100919e-10,4.362733110241882e-10,4.630887966336874e-10
28,Normal,1.3362000397985834e-09,0.9999999975569158,3.081809662210727e-10,5.06786795255105e-10,2.9191629052284037e-10
32,Normal,8.58784702872107e-09,0.999999982392818,3.4894342515868026e-09,2.4060532750762344e-09,3.1238475307100685e-09
34,Normal,1.568708738864041e-09,0.9999999969611029,6.374004449081725e-10,5.184436774484874e-10,3.143442657451503e-10
38,Normal,3.3010101076935812e-09,0.9999999911384555,1.1944524115427848e-09,3.6574512968589657e-09,7.086309986626165e-10
45,Normal,3.3366381327522056e-09,0.9999999798157473,9.707530687690589e-10,1.5080028497669955e-08,7.968330173963137e-10
48,Normal,6.54845125804616e-09,0.9999999664248178,3.210978430878723e-09,2.2223202574280614e-08,1.5925497701049922e-09
52,Normal,2.7642227907101612e-08,0.9999957604107578,2.4713112900179904e-08,4.183272150324028e-06,3.961751105195683e-09
58,Normal,2.954081632476116e-09,0.9999994853938553,1.5134184919939445e-09,5.095729949325617e-07,5.656496358908549e-10
59,Normal,1.383626765479856e-09,0.9999998370574431,5.55318293867549e-10,1.600947356669258e-07,9.088761676509101e-10
60,Normal,3.2962238081594574e-07,0.9999964052671064,2.967593633811107e-08,3.2310032861710824e-06,4.431290179705255e-09
63,Normal,3.0580985425809954e-08,0.9999952826990206,1.68648139546687e-08,4.655679666151779e-06,1.417551408208903e-08
67,Normal,1.8528925609195694e-08,0.999997205857793,7.0256444997989806e-09,2.7582721012563726e-06,1.0315535545293115e-08
69,Normal,5.937475418763047e-08,0.999989488527104,3.828808509796465e-08,1.0374168559864872e-05,3.9641496781011073e-08
76,Normal,6.55941149045564e-07,0.9995158599715259,3.1384791694327434e-06,2.3663253869021156e-06,0.0004779792827689443
79,Normal,4.984254049132873e-09,0.9999999634782113,4.717800570089814e-09,2.607852851300939e-08,7.412055150479696e-10
82,Normal,1.2182521655172733e-09,0.9999999959265116,4.296907777742192e-10,2.157514354950055e-09,2.6803116282311873e-10
83,Normal,2.058762101792961e-09,0.9999999929385452,7.262449416099061e-10,3.645685166653809e-09,6.307628751803106e-10
86,Normal,1.1006202093769432e-08,0.9999999704655946,2.538470173725615e-09,1.2767684965257684e-08,3.222048107887256e-09
89,Normal,1.2177423263300362e-09,0.9999999958440859,2.8087529520954465e-10,2.470619746421878e-09,1.866766179708114e-10
91,Normal,5.240016737345434e-09,0.9999999859148423,1.992103100881939e-09,4.9983892201854936e-09,1.8546486229897695e-09
92,Normal,4.376083250476788e-09,0.9999999885484331,1.6636599941544122e-09,3.773438248699575e-09,1.638385391948744e-09
94,Normal,1.1677067500313316e-09,0.9999999969977373,4.1191858829705575e-10,1.2404205507029562e-09,1.8221665608815688e-10
106,Normal,2.484541456900364e-09,0.9999999911786445,9.44551094430146e-10,5.002360695360912e-09,3.8990230880838576e-10
111,Normal,8.942378895201247e-09,0.9999999656174839,3.633975231330838e-09,1.373602096265557e-08,8.07014091929248e-09
112,Normal,1.3723330348306696e-09,0.9999999976703766,3.382871061397578e-10,4.5731210344525103e-10,1.6169090644520906e-10
117,Normal,5.430951942639473e-09,0.9999999762354036,2.206717310381437e-09,1.4187216507603887e-08,1.939710828119218e-09
118,Normal,1.3215920700441502e-09,0.9999999941351296,5.369922665422006e-10,3.784621567966928e-09,2.2166441276923777e-10
123,Normal,1.4833186351747224e-07,0.9999998063744298,1.8603722836205984e-09,4.244694541111614e-08,9.863886797158248e-10
124,Normal,3.9518086462583335e-09,0.9999999550129417,1.4683926939635595e-09,3.887821816453619e-08,6.886386246710977e-10
127,Normal,2.7030440469172832e-08,0.9999996323651089,1.3155800756975499e-08,3.259129728885396e-07,1.5356770786117697e-09
139,Normal,2.757729315703284e-09,0.9999999816941035,1.1079483712405524e-09,1.3958824886119147e-08,4.81393842136614e-10
140,Normal,4.72284990405014e-07,0.9999985678828059,9.668448743777008e-08,8.576872760854102e-07,5.4604399915500905e-09
142,Normal,1.0385079358139442e-08,0.9999999168327174,5.3204243910624296e-09,5.938591668716898e-08,8.07586213503883e-09
146,Normal,5.21491776756231e-08,0.9999994619148651,2.8759331274069163e-08,3.741259666066522e-07,8.305065944182301e-08
150,Normal,4.678416426907622e-08,0.9999995753724917,4.0570128635297944e-08,2.7641551100905373e-07,6.08577043183794e-08
151,Normal,3.6261142650801545e-09,0.9999999819945599,3.0130302246862094e-09,1.0589659269301658e-08,7.766364456825902e-10
153,Normal,7.63523647282566e-09,0.9999999548424459,3.3815542832435243e-09,3.147618935254639e-08,2.6645740227924953e-09
155,Normal,1.0246664911052215e-07,0.9999992616486488,1.398865571054548e-07,3.672054106730706e-07,1.287927342805055e-07
156,Normal,3.1291781232107666e-07,0.9999953878881993,1.443123810617619e-07,1.051450243134252e-06,3.1034313640462243e-06
160,Normal,5.651047107905479e-07,0.9995504031751032,0.0003081589232143448,1.8831250311178948e-06,0.0001389896719405389
