UID,y_true,p_HDF,p_Normal,p_OSF,p_PWF,p_TWF
1,Normal,3.387117346723719e-17,0.9999999999999722,5.19860499553947e-29,2.7141706907323082e-17,2.771780225205846e-14
4,Normal,1.0278612494625843e-13,0.9999999999998972,1.459775331592426e-30,7.72590666374253e-25,5.623533007694806e-17
7,Normal,3.524674182784721e-16,0.9999999999999899,6.165068680700295e-26,4.9450339805914914e-17,9.815083011332963e-15
17,Normal,8.198940356312069e-13,0.9999999999991698,1.0508137508230406e-29,9.959296277250265e-25,1.0417129277245448e-14
28,Normal,6.441971780445238e-23,0.9999999985193577,2.3253005580436678e-26,6.099009112485258e-19,1.4806423753492052e-09
32,Normal,2.4155542308777293e-20,0.9999999978877363,1.9371769520517955e-23,1.8092925963506223e-18,2.1122637599689626e-09
34,Normal,7.810626267614694e-18,0.9999999987065584,4.6656278700349e-22,7.059284238993645e-19,1.293441538325697e-09
38,Normal,8.790057372510731e-13,0.9999999998665253,5.783830434076898e-22,4.880846907854234e-24,1.325957300986811e-10
45,Normal,1.9989626471682636e-12,0.9999998928165482,7.401178114652536e-17,2.2544244581788338e-15,1.071814504731262e-07
48,Normal,1.8513788164130142e-11,0.999999985298381,5.1640430040853036e-15,3.974020377175997e-18,1.4683100117865598e-08
52,Normal,2.716030293273565e-09,0.9999994403553094,8.056266519081096e-08,1.0342290051361015e-09,4.753317661048551e-07
58,Normal,9.883985710609123e-14,0.9999950788415504,1.9608945795708812e-13,3.368931309179157e-17,4.921158154775146e-06
59,Normal,4.472956291668301e-16,0.9997876815650459,2.0537057122094937e-15,2.780772416496869e-16,0.00021231843495131666
60,Normal,1.641885073030798e-09,0.9999408603961608,4.133198133472082e-05,1.0335871832196214e-09,1.7804947032230215e-05
63,Normal,6.580874454132901e-19,0.9987048877514513,2.1117796460943755e-15,1.125374673018214e-14,0.0012951122485354049
67,Normal,5.421776269158777e-16,0.9968445451122939,1.1141209398046778e-13,4.8926041890390805e-15,0.0031554548875892137
69,Normal,7.23025987665575e-13,0.990991975158723,2.6407837715854233e-11,9.989696069086856e-19,0.009008024814146148
76,Normal,3.1694577746475343e-09,0.9763108542836596,0.0005689112638795523,5.2566885671504154e-14,0.023120231282950512
79,Normal,1.0465065806600591e-09,0.999999998953405,2.326465228529723e-24,8.775294717476355e-14,8.253577055688091e-16
82,Normal,3.950063829806023e-11,0.9999999999604972,7.69905287773765e-25,3.4420501244066113e-16,1.8330947629563745e-15
83,Normal,2.107893290899675e-12,0.9999999999978917,1.5888369383551542e-28,9.705913482267349e-23,4.559075445179786e-16
86,Normal,1.9927410528318706e-21,0.999999999969722,1.1835339518788495e-26,1.0091308372006233e-17,3.027806764533999e-11
89,Normal,1.7275742305514217e-11,0.9999999999826658,2.073476525663603e-27,1.2157549796418269e-20,5.851808985272233e-14
91,Normal,4.913321658390127e-21,0.9999999999966431,3.1989917701311637e-27,5.240348942130867e-21,3.3569328517874843e-12
92,Normal,4.229733218164489e-22,0.9999999999876994,1.0106016563907347e-26,1.0653256037917556e-18,1.230070431855826e-11
94,Normal,2.0352392424040655e-11,0.9999999999796179,4.150718065255993e-25,1.0802532254766213e-20,2.977937356022832e-14
106,Normal,6.076720913955589e-17,0.9999999999893403,1.2744786281915032e-25,2.707089699735381e-23,1.0659579654701842e-11
111,Normal,3.780467139658463e-22,0.9999999978859704,1.7589876729975602e-24,1.0429131131964826e-17,2.114029625941515e-09
112,Normal,4.692597053641127e-15,0.9999999992371368,1.1025524371210145e-22,3.4372820658156436e-17,7.628585714164352e-10
117,Normal,1.0220228252235922e-15,0.9999999994694269,2.6079414490314807e-22,9.551214703657791e-22,5.30572129846705e-10
118,Normal,1.1101948535854604e-16,0.9999999987773562,4.847258360576204e-22,6.755154080509711e-21,1.2226436270790198e-09
