UID,block
1,calibration
2,test
3,train
4,calibration
5,test
6,test
7,calibration
8,train
9,train
10,test
11,train
12,test
13,train
14,test
15,train
16,train
17,calibration
18,train
19,train
20,train
21,test
22,test
23,train
24,train
25,train
26,train
27,train
28,calibration
29,train
30,train
31,train
32,calibration
33,train
34,calibration
35,train
36,test
37,train
38,calibration
39,test
40,train
41,train
42,train
43,test
44,train
45,calibration
46,train
47,train
48,calibration
49,train
50,train
51,train
52,calibration
53,train
54,train
55,train
56,test
57,test
58,calibration
59,calibration
60,calibration
61,train
62,test
63,calibration
64,train
65,train
66,train
67,calibration
68,test
69,calibration
70,train
71,train
72,train
73,train
74,train
75,test
76,calibration
77,test
78,train
79,calibration
80,train
81,test
82,calibration
83,calibration
84,train
85,train
86,calibration
87,train
88,train
89,calibration
90,train
91,calibration
92,calibration
93,test
94,calibration
95,train
96,train
97,train
98,test
99,train
100,train
101,train
102,test
103,train
104,train
105,train
106,calibration
107,train
108,train
109,test
110,train
111,calibration
112,calibration
113,train
114,train
115,train
116,train
117,calibration
118,calibration
119,train
120,test
121,test
122,train
123,calibration
124,calibration
125,train
126,train
127,calibration
128,train
129,test
130,test
131,train
132,test
133,train
134,test
135,train
136,train
137,test
138,train
139,calibration
140,calibration
141,test
142,calibration
143,train
144,test
145,train
146,calibration
147,train
148,train
149,test
150,calibration
151,calibration
152,train
153,calibration
154,train
155,calibration
156,calibration
157,test
158,test
159,train
160,calibration
161,train
162,calibration
163,train
164,test
165,train
166,train
167,calibration
168,calibration
169,test
170,train
171,calibration
172,train
173,train
174,train
175,calibration
176,train
177,train
178,calibration
179,calibration
180,train
181,calibration
182,calibration
183,train
184,calibration
185,train
186,train
187,train
188,train
189,train
190,calibration
191,calibration
192,calibration
193,train
194,train
195,calibration
196,train
197,train
198,test
199,train
200,train
201,calibration
202,train
203,train
204,calibration
205,test
206,train
207,train
208,calibration
209,train
210,train
211,test
212,calibration
213,train
214,calibration
215,test
216,test
217,train
218,train
219,calibration
220,train
221,train
222,test
223,train
224,train
225,train
226,train
227,calibration
228,train
229,train
230,train
231,train
232,calibration
233,test
234,test
235,train
236,train
237,train
238,train
239,train
240,train
241,test
242,train
243,train
244,calibration
245,test
246,test
247,train
248,train
249,train
250,train
251,train
252,calibration
253,calibration
254,calibration
255,calibration
256,calibration
257,calibration
258,train
259,calibration
260,test
261,calibration
262,test
263,calibration
264,train
265,train
