model,variant,alpha,class,threshold
hgb,split,0.05,HDF,0.0019124569313765383
hgb,split,0.05,Normal,0.0019124569313765383
hgb,split,0.05,OSF,0.0019124569313765383
hgb,split,0.05,PWF,0.0019124569313765383
hgb,split,0.05,TWF,0.0019124569313765383
hgb,mondrian,0.05,HDF,0.9821338980874637
hgb,mondrian,0.05,Normal,0.00011168147808504614
hgb,mondrian,0.05,OSF,0.9999962021589707
hgb,mondrian,0.05,PWF,0.9999999914037933
hgb,mondrian,0.05,TWF,inf
hgb,split,0.1,HDF,2.1031232493418095e-05
hgb,split,0.1,Normal,2.1031232493418095e-05
hgb,split,0.1,OSF,2.1031232493418095e-05
hgb,split,0.1,PWF,2.1031232493418095e-05
hgb,split,0.1,TWF,2.1031232493418095e-05
hgb,mondrian,0.1,HDF,0.5760461333061201
hgb,mondrian,0.1,Normal,6.651904071786063e-06
hgb,mondrian,0.1,OSF,0.999945697016399
hgb,mondrian,0.1,PWF,0.9999972636730714
hgb,mondrian,0.1,TWF,0.9999999939966513
hgb,split,0.2,HDF,9.96322994883947e-07
hgb,split,0.2,Normal,9.96322994883947e-07
hgb,split,0.2,OSF,9.96322994883947e-07
hgb,split,0.2,PWF,9.96322994883947e-07
hgb,split,0.2,TWF,9.96322994883947e-07
hgb,mondrian,0.2,HDF,0.1631611255347668
hgb,mondrian,0.2,Normal,6.326779359300261e-07
hgb,mondrian,0.2,OSF,0.9984800591103303
hgb,mondrian,0.2,PWF,0.996343424083303
hgb,mondrian,0.2,TWF,0.9999990717698858
mlp,split,0.05,HDF,0.10596528320859733
mlp,split,0.05,Normal,0.10596528320859733
mlp,split,0.05,OSF,0.10596528320859733
mlp,split,0.05,PWF,0.10596528320859733
mlp,split,0.05,TWF,0.10596528320859733
mlp,mondrian,0.05,HDF,0.9199351696658864
mlp,mondrian,0.05,Normal,0.0521965229193071
mlp,mondrian,0.05,OSF,0.9985177966630288
mlp,mondrian,0.05,PWF,0.9999999991729769
mlp,mondrian,0.05,TWF,inf
mlp,split,0.1,HDF,0.020425265255442526
mlp,split,0.1,Normal,0.020425265255442526
mlp,split,0.1,OSF,0.020425265255442526
mlp,split,0.1,PWF,0.020425265255442526
mlp,split,0.1,TWF,0.020425265255442526
mlp,mondrian,0.1,HDF,0.8148440303626805
mlp,mondrian,0.1,Normal,0.011183102361248087
mlp,mondrian,0.1,OSF,0.9898383322143817
mlp,mondrian,0.1,PWF,0.9999957219566639
mlp,mondrian,0.1,TWF,0.997439414922535
mlp,split,0.2,HDF,0.0015989616125988704
mlp,split,0.2,Normal,0.0015989616125988704
mlp,split,0.2,OSF,0.0015989616125988704
mlp,split,0.2,PWF,0.0015989616125988704
mlp,split,0.2,TWF,0.0015989616125988704
mlp,mondrian,0.2,HDF,0.6432346896564439
mlp,mondrian,0.2,Normal,0.0007419478897199294
mlp,mondrian,0.2,OSF,0.34558588110212907
mlp,mondrian,0.2,PWF,0.6630979934721857
mlp,mondrian,0.2,TWF,0.9800570578089715
